/Users/r0ebot/Projects/bluesky-lakehouse/.venv/bin/python3: No module named services.ingestion.ingestor
/Users/r0ebot/Projects/bluesky-lakehouse/.venv/bin/python3: No module named services.ingestion.ingestor
/Users/r0ebot/Projects/bluesky-lakehouse/.venv/bin/python3: No module named services.ingestion.ingestor
2026-05-27 18:00:07,323 [ingestion] INFO: Connecting: wss://jetstream2.us-east.bsky.network/subscribe?wantedCollections=app.bsky.feed.post
2026-05-27 18:21:07,348 [ingestion] INFO: Processed 57000 events | 45.2 events/sec | 44.41 MB total
2026-05-27 18:21:31,476 [ingestion] INFO: Processed 58000 events | 45.2 events/sec | 45.19 MB total
2026-05-27 18:21:57,628 [ingestion] INFO: Processed 59000 events | 45.0 events/sec | 45.95 MB total
2026-05-27 18:22:21,899 [ingestion] INFO: Processed 60000 events | 45.0 events/sec | 46.71 MB total
2026-05-27 18:22:45,758 [ingestion] INFO: Processed 61000 events | 44.9 events/sec | 47.50 MB total
2026-05-27 18:23:09,068 [ingestion] INFO: Processed 62000 events | 44.9 events/sec | 48.29 MB total
2026-05-27 18:23:33,482 [ingestion] INFO: Processed 63000 events | 44.8 events/sec | 49.04 MB total
2026-05-27 18:23:59,289 [ingestion] INFO: Processed 64000 events | 44.7 events/sec | 49.80 MB total
2026-05-27 18:24:24,419 [ingestion] INFO: Processed 65000 events | 44.6 events/sec | 50.59 MB total
2026-05-27 18:24:46,119 [ingestion] INFO: Processed 66000 events | 44.6 events/sec | 51.34 MB total
2026-05-27 18:25:08,972 [ingestion] INFO: Processed 67000 events | 44.6 events/sec | 52.07 MB total
2026-05-27 18:25:34,094 [ingestion] INFO: Processed 68000 events | 44.5 events/sec | 52.82 MB total
2026-05-27 18:26:00,259 [ingestion] INFO: Processed 69000 events | 44.4 events/sec | 53.59 MB total
2026-05-27 18:26:22,908 [ingestion] INFO: Processed 70000 events | 44.4 events/sec | 54.37 MB total
2026-05-27 18:26:45,152 [ingestion] INFO: Processed 71000 events | 44.4 events/sec | 55.16 MB total
2026-05-27 18:27:09,045 [ingestion] INFO: Processed 72000 events | 44.4 events/sec | 55.89 MB total
2026-05-27 18:27:31,467 [ingestion] INFO: Processed 73000 events | 44.4 events/sec | 56.68 MB total
2026-05-27 18:27:54,282 [ingestion] INFO: Processed 74000 events | 44.4 events/sec | 57.46 MB total
2026-05-27 18:28:17,784 [ingestion] INFO: Processed 75000 events | 44.4 events/sec | 58.22 MB total
2026-05-27 18:28:40,324 [ingestion] INFO: Processed 76000 events | 44.4 events/sec | 58.97 MB total
2026-05-27 18:29:05,532 [ingestion] INFO: Processed 77000 events | 44.3 events/sec | 59.72 MB total
2026-05-27 18:29:28,556 [ingestion] INFO: Processed 78000 events | 44.3 events/sec | 60.46 MB total
2026-05-27 18:29:49,882 [ingestion] INFO: Processed 79000 events | 44.3 events/sec | 61.30 MB total
2026-05-27 18:30:10,530 [ingestion] INFO: Processed 80000 events | 44.4 events/sec | 62.14 MB total
2026-05-27 18:30:28,868 [ingestion] INFO: Processed 81000 events | 44.5 events/sec | 62.97 MB total
2026-05-27 18:30:50,368 [ingestion] INFO: Processed 82000 events | 44.5 events/sec | 63.76 MB total
2026-05-27 18:31:12,499 [ingestion] INFO: Processed 83000 events | 44.5 events/sec | 64.54 MB total
2026-05-27 18:31:36,052 [ingestion] INFO: Processed 84000 events | 44.5 events/sec | 65.31 MB total
2026-05-27 18:32:00,343 [ingestion] INFO: Processed 85000 events | 44.4 events/sec | 66.07 MB total
2026-05-27 18:32:21,882 [ingestion] INFO: Processed 86000 events | 44.5 events/sec | 66.82 MB total
2026-05-27 18:32:44,788 [ingestion] INFO: Processed 87000 events | 44.4 events/sec | 67.59 MB total
2026-05-27 18:33:08,762 [ingestion] INFO: Processed 88000 events | 44.4 events/sec | 68.34 MB total
2026-05-27 18:33:31,617 [ingestion] INFO: Processed 89000 events | 44.4 events/sec | 69.09 MB total
2026-05-27 18:33:55,669 [ingestion] INFO: Processed 90000 events | 44.4 events/sec | 69.84 MB total
2026-05-27 18:34:20,172 [ingestion] INFO: Processed 91000 events | 44.3 events/sec | 70.58 MB total
2026-05-27 18:34:43,963 [ingestion] INFO: Processed 92000 events | 44.3 events/sec | 71.32 MB total
2026-05-27 18:35:09,348 [ingestion] INFO: Processed 93000 events | 44.2 events/sec | 72.06 MB total
2026-05-27 18:35:32,686 [ingestion] INFO: Processed 94000 events | 44.2 events/sec | 72.82 MB total
2026-05-27 18:35:56,540 [ingestion] INFO: Processed 95000 events | 44.2 events/sec | 73.54 MB total
2026-05-27 18:36:20,190 [ingestion] INFO: Processed 96000 events | 44.2 events/sec | 74.28 MB total
2026-05-27 18:36:44,674 [ingestion] INFO: Processed 97000 events | 44.1 events/sec | 75.03 MB total
2026-05-27 18:37:11,200 [ingestion] INFO: Processed 98000 events | 44.1 events/sec | 75.79 MB total
2026-05-27 18:37:35,580 [ingestion] INFO: Processed 99000 events | 44.0 events/sec | 76.59 MB total
2026-05-27 18:38:00,981 [ingestion] INFO: Processed 100000 events | 44.0 events/sec | 77.34 MB total
2026-05-27 18:38:22,919 [ingestion] INFO: Processed 101000 events | 44.0 events/sec | 78.13 MB total
2026-05-27 18:38:49,809 [ingestion] INFO: Processed 102000 events | 43.9 events/sec | 78.94 MB total
2026-05-27 18:39:13,288 [ingestion] INFO: Processed 103000 events | 43.9 events/sec | 79.70 MB total
2026-05-27 18:39:39,575 [ingestion] INFO: Processed 104000 events | 43.8 events/sec | 80.44 MB total
2026-05-27 18:40:03,699 [ingestion] INFO: Processed 105000 events | 43.8 events/sec | 81.21 MB total
2026-05-27 18:40:22,964 [ingestion] INFO: Processed 106000 events | 43.9 events/sec | 82.00 MB total
2026-05-27 18:40:44,889 [ingestion] INFO: Processed 107000 events | 43.9 events/sec | 82.77 MB total
2026-05-27 18:41:07,106 [ingestion] INFO: Processed 108000 events | 43.9 events/sec | 83.52 MB total
2026-05-27 18:41:30,421 [ingestion] INFO: Processed 109000 events | 43.9 events/sec | 84.28 MB total
2026-05-27 18:41:52,479 [ingestion] INFO: Processed 110000 events | 43.9 events/sec | 85.00 MB total
2026-05-27 18:42:15,933 [ingestion] INFO: Processed 111000 events | 43.9 events/sec | 85.74 MB total
2026-05-27 18:42:38,175 [ingestion] INFO: Processed 112000 events | 43.9 events/sec | 86.48 MB total
2026-05-27 18:43:01,240 [ingestion] INFO: Processed 113000 events | 43.9 events/sec | 87.22 MB total
2026-05-27 18:43:23,599 [ingestion] INFO: Processed 114000 events | 43.9 events/sec | 87.96 MB total
2026-05-27 18:43:46,961 [ingestion] INFO: Processed 115000 events | 43.9 events/sec | 88.68 MB total
2026-05-27 18:44:09,390 [ingestion] INFO: Processed 116000 events | 43.9 events/sec | 89.42 MB total
2026-05-27 18:44:32,389 [ingestion] INFO: Processed 117000 events | 43.9 events/sec | 90.18 MB total
2026-05-27 18:44:53,378 [ingestion] INFO: Processed 118000 events | 43.9 events/sec | 91.04 MB total
2026-05-27 18:45:13,614 [ingestion] INFO: Processed 119000 events | 44.0 events/sec | 91.86 MB total
2026-05-27 18:45:33,969 [ingestion] INFO: Processed 120000 events | 44.0 events/sec | 92.64 MB total
2026-05-27 18:45:56,004 [ingestion] INFO: Processed 121000 events | 44.0 events/sec | 93.42 MB total
2026-05-27 18:46:18,969 [ingestion] INFO: Processed 122000 events | 44.0 events/sec | 94.17 MB total
2026-05-27 18:46:41,309 [ingestion] INFO: Processed 123000 events | 44.0 events/sec | 94.93 MB total
2026-05-27 18:47:05,780 [ingestion] INFO: Processed 124000 events | 44.0 events/sec | 95.68 MB total
2026-05-27 18:47:28,899 [ingestion] INFO: Processed 125000 events | 44.0 events/sec | 96.43 MB total
2026-05-27 18:47:51,956 [ingestion] INFO: Processed 126000 events | 44.0 events/sec | 97.19 MB total
2026-05-27 18:48:16,159 [ingestion] INFO: Processed 127000 events | 44.0 events/sec | 97.91 MB total
2026-05-27 18:48:39,356 [ingestion] INFO: Processed 128000 events | 44.0 events/sec | 98.65 MB total
2026-05-27 18:49:03,589 [ingestion] INFO: Processed 129000 events | 43.9 events/sec | 99.38 MB total
2026-05-27 18:49:25,671 [ingestion] INFO: Processed 130000 events | 43.9 events/sec | 100.11 MB total
2026-05-27 18:49:47,820 [ingestion] INFO: Processed 131000 events | 44.0 events/sec | 100.84 MB total
2026-05-27 18:50:11,658 [ingestion] INFO: Processed 132000 events | 43.9 events/sec | 101.60 MB total
2026-05-27 18:50:34,931 [ingestion] INFO: Processed 133000 events | 43.9 events/sec | 102.36 MB total
2026-05-27 18:50:59,864 [ingestion] INFO: Processed 134000 events | 43.9 events/sec | 103.11 MB total
2026-05-27 18:51:24,686 [ingestion] INFO: Processed 135000 events | 43.9 events/sec | 103.85 MB total
2026-05-27 18:51:49,260 [ingestion] INFO: Processed 136000 events | 43.8 events/sec | 104.62 MB total
2026-05-27 18:52:12,966 [ingestion] INFO: Processed 137000 events | 43.8 events/sec | 105.47 MB total
2026-05-27 18:52:34,718 [ingestion] INFO: Processed 138000 events | 43.8 events/sec | 106.33 MB total
2026-05-27 18:52:59,335 [ingestion] INFO: Processed 139000 events | 43.8 events/sec | 107.11 MB total
2026-05-27 18:53:24,066 [ingestion] INFO: Processed 140000 events | 43.8 events/sec | 107.86 MB total
2026-05-27 18:53:46,864 [ingestion] INFO: Processed 141000 events | 43.8 events/sec | 108.61 MB total
2026-05-27 18:54:12,677 [ingestion] INFO: Processed 142000 events | 43.8 events/sec | 109.36 MB total
2026-05-27 18:54:38,389 [ingestion] INFO: Processed 143000 events | 43.7 events/sec | 110.10 MB total
2026-05-27 18:55:04,371 [ingestion] INFO: Processed 144000 events | 43.7 events/sec | 110.84 MB total
2026-05-27 18:55:27,089 [ingestion] INFO: Processed 145000 events | 43.7 events/sec | 111.59 MB total
2026-05-27 18:55:50,460 [ingestion] INFO: Processed 146000 events | 43.7 events/sec | 112.35 MB total
2026-05-27 18:56:13,779 [ingestion] INFO: Processed 147000 events | 43.7 events/sec | 113.08 MB total
2026-05-27 18:56:36,389 [ingestion] INFO: Processed 148000 events | 43.7 events/sec | 113.84 MB total
2026-05-27 18:57:02,999 [ingestion] INFO: Processed 149000 events | 43.6 events/sec | 114.61 MB total
2026-05-27 18:57:25,898 [ingestion] INFO: Processed 150000 events | 43.6 events/sec | 115.40 MB total
2026-05-27 18:57:50,055 [ingestion] INFO: Processed 151000 events | 43.6 events/sec | 116.17 MB total
2026-05-27 18:58:14,391 [ingestion] INFO: Processed 152000 events | 43.6 events/sec | 116.92 MB total
2026-05-27 18:58:39,330 [ingestion] INFO: Processed 153000 events | 43.6 events/sec | 117.66 MB total
2026-05-27 18:59:04,831 [ingestion] INFO: Processed 154000 events | 43.5 events/sec | 118.45 MB total
2026-05-27 18:59:28,435 [ingestion] INFO: Processed 155000 events | 43.5 events/sec | 119.22 MB total
2026-05-27 18:59:50,961 [ingestion] INFO: Processed 156000 events | 43.5 events/sec | 120.09 MB total
2026-05-27 19:00:08,437 [ingestion] INFO: Processed 157000 events | 43.6 events/sec | 120.87 MB total
2026-05-27 19:00:20,961 [ingestion] INFO: Processed 158000 events | 43.7 events/sec | 121.79 MB total
2026-05-27 19:00:37,763 [ingestion] INFO: Processed 159000 events | 43.8 events/sec | 122.66 MB total
2026-05-27 19:00:56,940 [ingestion] INFO: Processed 160000 events | 43.8 events/sec | 123.48 MB total
2026-05-27 19:01:15,728 [ingestion] INFO: Processed 161000 events | 43.9 events/sec | 124.29 MB total
2026-05-27 19:01:38,900 [ingestion] INFO: Processed 162000 events | 43.9 events/sec | 125.04 MB total
2026-05-27 19:02:04,586 [ingestion] INFO: Processed 163000 events | 43.8 events/sec | 125.79 MB total
2026-05-27 19:02:27,021 [ingestion] INFO: Processed 164000 events | 43.9 events/sec | 126.54 MB total
2026-05-27 19:02:51,643 [ingestion] INFO: Processed 165000 events | 43.8 events/sec | 127.30 MB total
2026-05-27 19:03:16,003 [ingestion] INFO: Processed 166000 events | 43.8 events/sec | 128.15 MB total
2026-05-27 19:03:38,714 [ingestion] INFO: Processed 167000 events | 43.8 events/sec | 128.95 MB total
2026-05-27 19:04:04,362 [ingestion] INFO: Processed 168000 events | 43.8 events/sec | 129.73 MB total
2026-05-27 19:04:28,632 [ingestion] INFO: Processed 169000 events | 43.8 events/sec | 130.47 MB total
2026-05-27 19:04:52,904 [ingestion] INFO: Processed 170000 events | 43.8 events/sec | 131.25 MB total
2026-05-27 19:05:16,833 [ingestion] INFO: Processed 171000 events | 43.7 events/sec | 132.00 MB total
2026-05-27 19:05:40,640 [ingestion] INFO: Processed 172000 events | 43.7 events/sec | 132.75 MB total
2026-05-27 19:06:05,878 [ingestion] INFO: Processed 173000 events | 43.7 events/sec | 133.53 MB total
2026-05-27 19:06:28,108 [ingestion] INFO: Processed 174000 events | 43.7 events/sec | 134.29 MB total
2026-05-27 19:06:53,616 [ingestion] INFO: Processed 175000 events | 43.7 events/sec | 135.02 MB total
2026-05-27 19:07:16,233 [ingestion] INFO: Processed 176000 events | 43.7 events/sec | 135.82 MB total
2026-05-27 19:07:39,067 [ingestion] INFO: Processed 177000 events | 43.7 events/sec | 136.59 MB total
2026-05-27 19:08:05,580 [ingestion] INFO: Processed 178000 events | 43.6 events/sec | 137.35 MB total
2026-05-27 19:08:28,834 [ingestion] INFO: Processed 179000 events | 43.6 events/sec | 138.09 MB total
2026-05-27 19:08:53,294 [ingestion] INFO: Processed 180000 events | 43.6 events/sec | 138.86 MB total
